timestamp,rmssd,coverage,low_frequency,high_frequency
2021-04-17T00:25:00,69.559,0.9,2376.158,765.288
2021-04-17T00:30:00,64.62,0.999,357.331,504.73
2021-04-17T00:35:00,61.053,0.923,479.55,522.888
2021-04-17T00:40:00,57.534,0.924,589.884,363.892
2021-04-17T00:45:00,52.481,1.002,1564.242,519.547
2021-04-17T00:50:00,57.628,0.993,1021.792,603.794
2021-04-17T00:55:00,93.632,0.91,8846.749,1297.946
2021-04-17T01:00:00,82.108,1.003,653.217,1068.892
2021-04-17T01:05:00,73.84,1.004,610.973,896.069
2021-04-17T01:10:00,77.264,1.005,673.095,987.671
2021-04-17T01:15:00,82.329,1.004,975.167,1085.353
2021-04-17T01:20:00,74.916,0.969,1774.751,849.268
2021-04-17T01:25:00,77.821,0.953,6435.208,1178.975
2021-04-17T01:30:00,74.103,0.942,2210.07,872.748
2021-04-17T01:35:00,78.319,0.978,4340.838,1434.238
2021-04-17T01:40:00,86.101,0.983,1846.589,1123.576
2021-04-17T01:45:00,74.152,1.003,664.839,930.437
2021-04-17T01:50:00,77.232,0.921,2521.281,872.76
2021-04-17T01:55:00,80.071,1.004,1711.584,986.271
2021-04-17T02:00:00,81.902,0.982,3065.087,1249.972
2021-04-17T02:05:00,68.968,0.988,2383.894,786.471
2021-04-17T02:10:00,71.601,0.947,9687.158,1374.04
2021-04-17T02:15:00,68.196,1.003,624.168,571.692
2021-04-17T02:20:00,71.585,1.006,1099.625,764.936
2021-04-17T02:25:00,78.307,0.94,1558.937,857.105
2021-04-17T02:30:00,86.418,1.005,4404.425,1292.365
2021-04-17T02:35:00,77.672,1.003,3285.062,798.831
2021-04-17T02:40:00,66.144,1.006,387.226,625.634
2021-04-17T02:45:00,62.179,1.002,285.138,549.437
2021-04-17T02:50:00,63.873,0.982,287.781,590.697
2021-04-17T02:55:00,86.92,0.974,6842.61,1395.073
2021-04-17T03:00:00,82.561,1.005,964.705,1097.486
2021-04-17T03:05:00,91.788,0.934,1246.171,1427.338
2021-04-17T03:10:00,92.479,0.981,4234.606,1653.543
2021-04-17T03:15:00,88.013,0.911,2662.124,1056.426
2021-04-17T03:20:00,89.0,1.004,1531.868,1313.301
2021-04-17T03:25:00,78.167,0.934,922.016,855.319
2021-04-17T03:50:00,85.205,0.858,7009.799,927.398
2021-04-17T03:55:00,101.488,0.997,5723.946,1494.479
2021-04-17T04:00:00,77.73,1.005,854.753,845.428
2021-04-17T04:05:00,69.997,1.002,505.142,710.733
2021-04-17T04:10:00,80.335,0.953,1162.098,1000.809
2021-04-17T04:15:00,75.856,1.006,459.441,684.176
2021-04-17T04:20:00,66.212,1.003,1361.77,730.464
2021-04-17T04:25:00,84.789,0.937,8891.016,2030.359
2021-04-17T04:30:00,78.393,0.996,2527.036,1103.574
2021-04-17T04:35:00,83.84,0.989,5252.096,1586.283
2021-04-17T04:40:00,85.374,0.939,2613.345,956.297
2021-04-17T04:45:00,80.15,0.947,1927.615,1238.08
2021-04-17T04:50:00,78.169,0.968,5782.293,1211.942
2021-04-17T04:55:00,82.302,0.967,2637.516,1219.641
2021-04-17T05:00:00,89.84,0.92,2360.153,1174.054
2021-04-17T05:05:00,90.79,0.967,6303.939,1521.143
2021-04-17T05:10:00,75.818,0.955,1982.786,859.676
2021-04-17T05:15:00,64.08,1.007,2609.677,864.471
2021-04-17T05:20:00,56.901,1.002,686.839,472.806
2021-04-17T05:25:00,61.019,1.002,440.334,527.029
2021-04-17T05:30:00,67.37,1.007,469.514,584.573
2021-04-17T05:35:00,66.191,1.003,1183.235,740.505
2021-04-17T05:40:00,68.29,1.004,457.386,504.115
2021-04-17T05:45:00,63.258,1.005,825.7,647.699
2021-04-17T05:50:00,58.36,1.001,463.547,434.439
2021-04-17T05:55:00,101.177,0.703,11101.269,1491.845
2021-04-17T06:00:00,89.399,1.003,3037.044,1935.9
2021-04-17T06:05:00,74.57,0.989,5041.906,2131.662
2021-04-17T06:10:00,91.324,0.887,3569.254,1655.284
2021-04-17T06:15:00,93.69,0.985,5851.01,1804.959
2021-04-17T06:20:00,88.185,1.005,1531.686,892.501
2021-04-17T06:25:00,85.76,0.945,6770.647,1029.247
2021-04-17T06:40:00,73.065,1.006,881.484,658.543
2021-04-17T06:45:00,79.981,0.94,2276.653,1233.963
2021-04-17T06:50:00,62.666,0.994,998.14,762.438
2021-04-17T06:55:00,69.007,1.004,2638.963,844.272
2021-04-17T07:00:00,81.129,0.948,954.877,1138.13
2021-04-17T07:10:00,80.511,0.773,5070.51,1115.815
2021-04-17T07:15:00,77.208,1.007,5133.312,1520.399
2021-04-17T07:20:00,92.053,0.961,7061.018,1594.428
2021-04-17T07:25:00,90.605,0.712,9105.725,1495.351
2021-04-17T07:40:00,82.479,1.005,6224.971,1158.179
2021-04-17T07:45:00,80.453,0.897,4213.945,1095.187
2021-04-17T07:50:00,84.675,1.003,11466.29,1383.758
2021-04-17T07:55:00,74.093,0.988,4376.519,1037.897
