timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-10T01:05:00,42.528,0.978,1414.355,392.181
2021-06-10T01:10:00,47.705,0.926,2185.507,569.918
2021-06-10T01:15:00,55.843,0.947,4483.682,966.386
2021-06-10T01:20:00,37.844,1.001,1504.473,365.793
2021-06-10T01:25:00,46.202,0.969,1817.145,549.148
2021-06-10T01:30:00,51.83,1.002,377.861,500.72
2021-06-10T01:35:00,48.617,0.948,2200.804,318.001
2021-06-10T01:40:00,49.955,0.968,1552.855,397.12
2021-06-10T01:45:00,47.451,0.942,2991.549,410.721
2021-06-10T01:50:00,52.231,1.005,2321.208,647.516
2021-06-10T01:55:00,47.98,1.003,884.358,507.208
2021-06-10T02:00:00,46.993,1.0,772.008,370.365
2021-06-10T02:05:00,54.023,0.921,4437.66,587.141
2021-06-10T02:10:00,53.229,0.979,2487.153,534.279
2021-06-10T02:15:00,43.351,1.004,973.266,400.759
2021-06-10T02:20:00,48.374,0.957,3988.226,734.725
2021-06-10T02:25:00,40.46,0.975,1163.503,320.654
2021-06-10T02:30:00,50.397,0.953,1651.757,484.768
2021-06-10T02:35:00,56.349,0.971,2412.52,715.175
2021-06-10T02:40:00,55.224,0.993,2274.476,765.535
2021-06-10T02:45:00,59.593,0.971,3001.108,709.772
2021-06-10T02:50:00,52.168,1.0,831.851,662.012
2021-06-10T02:55:00,37.517,0.923,3915.039,320.033
2021-06-10T03:00:00,70.297,0.935,5322.896,1101.685
2021-06-10T03:05:00,63.141,0.991,4657.332,683.123
2021-06-10T03:10:00,70.687,0.959,6629.343,959.312
2021-06-10T03:15:00,62.687,1.004,5484.69,859.876
2021-06-10T03:20:00,64.576,0.963,5154.101,897.108
2021-06-10T03:25:00,51.753,1.002,5488.093,425.421
2021-06-10T03:30:00,57.691,0.983,5474.39,687.329
2021-06-10T03:35:00,65.199,0.919,8285.251,639.944
2021-06-10T03:40:00,57.674,0.938,5239.163,636.167
2021-06-10T03:45:00,49.422,1.005,1542.455,587.879
2021-06-10T03:50:00,49.803,1.002,1413.517,694.79
2021-06-10T03:55:00,39.674,0.991,1116.521,292.122
2021-06-10T04:00:00,39.527,1.002,1557.04,456.645
2021-06-10T04:05:00,58.129,0.957,2491.338,654.894
2021-06-10T04:10:00,55.958,0.959,2330.876,846.527
2021-06-10T04:15:00,64.046,0.982,1947.492,930.655
2021-06-10T04:20:00,72.486,0.953,3198.996,876.732
2021-06-10T04:25:00,77.836,1.003,2855.95,1482.009
2021-06-10T04:30:00,71.86,1.002,3191.182,1118.812
2021-06-10T04:35:00,57.526,0.97,667.843,741.023
2021-06-10T04:40:00,71.227,0.981,1986.766,897.853
2021-06-10T04:45:00,64.116,1.002,1237.884,780.521
2021-06-10T04:50:00,52.428,0.957,988.892,393.628
2021-06-10T04:55:00,80.712,0.935,6800.28,1210.846
2021-06-10T05:00:00,69.204,1.004,9704.318,823.618
2021-06-10T05:05:00,73.837,1.003,10042.195,962.959
2021-06-10T05:10:00,79.772,0.921,9882.665,1413.613
2021-06-10T05:15:00,89.966,0.954,14172.269,1921.58
2021-06-10T05:20:00,90.047,1.004,6656.098,1401.34
2021-06-10T05:25:00,90.96,1.006,2767.685,1638.196
2021-06-10T05:40:00,84.04,0.936,3007.227,1712.53
2021-06-10T05:45:00,85.906,0.91,6983.027,1621.782
2021-06-10T05:50:00,97.045,1.001,2809.637,1712.731
2021-06-10T05:55:00,89.92,0.925,6134.434,1535.67
2021-06-10T06:00:00,51.019,1.006,1376.258,524.504
2021-06-10T06:05:00,49.449,1.001,1409.194,530.085
2021-06-10T06:10:00,45.429,1.004,1441.16,544.783
2021-06-10T06:15:00,62.332,0.962,4454.82,1028.743
2021-06-10T06:20:00,52.579,1.006,998.86,645.829
2021-06-10T06:25:00,59.094,1.0,1042.793,746.76
2021-06-10T06:30:00,94.466,0.884,7088.285,2826.537
2021-06-10T06:35:00,96.716,1.004,5539.26,1800.366
2021-06-10T06:40:00,96.57,0.988,4729.34,1312.729
2021-06-10T06:45:00,113.852,0.894,2676.585,1703.213
2021-06-10T06:50:00,88.886,0.982,3059.936,1327.019
2021-06-10T06:55:00,96.888,1.001,3116.718,2054.44
2021-06-10T07:00:00,90.224,0.941,2621.148,1492.85
2021-06-10T07:15:00,88.046,0.717,1793.852,1192.582
2021-06-10T07:20:00,83.332,0.988,5113.419,1581.752
2021-06-10T07:25:00,90.099,1.004,2857.49,1302.522
2021-06-10T07:30:00,69.314,1.002,1526.757,1103.543
