timestamp,rmssd,coverage,low_frequency,high_frequency
2021-05-19T00:00:00,68.691,0.998,784.582,801.572
2021-05-19T00:05:00,66.274,0.988,888.476,767.228
2021-05-19T00:10:00,70.043,0.972,2047.396,734.381
2021-05-19T00:15:00,79.827,1.0,761.863,1059.061
2021-05-19T00:20:00,84.711,0.817,2007.564,910.608
2021-05-19T00:35:00,93.223,0.825,13668.959,1170.845
2021-05-19T00:40:00,94.476,0.967,2365.924,1453.192
2021-05-19T00:45:00,72.847,0.986,1640.448,1069.168
2021-05-19T00:50:00,79.611,0.993,1693.277,1193.878
2021-05-19T00:55:00,79.364,1.007,3305.271,1174.732
2021-05-19T01:00:00,87.809,0.95,3979.556,1645.619
2021-05-19T01:05:00,82.251,0.982,4920.238,1037.27
2021-05-19T01:10:00,77.72,0.993,3699.111,1258.48
2021-05-19T01:15:00,72.348,0.965,4149.333,905.438
2021-05-19T01:20:00,82.047,0.945,10823.649,1281.754
2021-05-19T01:25:00,73.144,0.974,3184.701,851.786
2021-05-19T01:30:00,67.771,1.002,939.31,768.629
2021-05-19T01:35:00,64.905,0.996,831.332,719.845
2021-05-19T01:40:00,68.264,0.982,2419.235,591.904
2021-05-19T01:45:00,84.97,0.945,6629.818,1170.088
2021-05-19T01:50:00,78.399,0.992,642.338,948.641
2021-05-19T01:55:00,72.561,1.004,872.221,811.598
2021-05-19T02:00:00,86.201,0.934,5447.005,1212.0
2021-05-19T02:05:00,89.669,0.993,2839.17,1112.079
2021-05-19T02:10:00,86.257,1.002,731.085,1210.188
2021-05-19T02:15:00,92.866,0.882,1715.222,954.186
2021-05-19T02:20:00,68.192,0.984,4156.127,765.502
2021-05-19T02:25:00,64.219,0.995,1868.524,721.543
2021-05-19T02:30:00,66.849,1.003,1442.478,645.193
2021-05-19T02:35:00,67.816,0.982,1267.93,628.387
2021-05-19T02:40:00,84.839,0.944,4974.061,1385.66
2021-05-19T02:45:00,74.737,0.997,5192.694,1208.804
2021-05-19T02:50:00,67.237,0.979,3138.467,730.294
2021-05-19T02:55:00,89.971,0.906,4178.099,1681.878
2021-05-19T03:00:00,92.76,1.001,1875.256,1361.198
2021-05-19T03:05:00,86.033,0.933,1709.877,1198.163
2021-05-19T03:10:00,83.994,1.001,1272.868,971.316
2021-05-19T03:15:00,80.779,1.001,817.179,1042.193
2021-05-19T03:20:00,86.748,0.998,1306.018,1262.819
2021-05-19T03:25:00,84.133,0.985,1469.024,1072.073
2021-05-19T03:30:00,76.478,1.003,1404.948,1008.973
2021-05-19T03:35:00,80.834,0.986,834.667,944.65
2021-05-19T03:40:00,76.685,1.003,1073.875,1040.448
2021-05-19T03:45:00,74.906,0.979,1852.787,757.299
2021-05-19T03:50:00,92.069,0.978,5301.014,1593.322
2021-05-19T03:55:00,87.062,0.983,4306.829,1608.438
2021-05-19T04:00:00,90.876,0.971,7791.29,1424.389
2021-05-19T04:05:00,87.134,0.85,9525.791,1324.8
2021-05-19T04:10:00,79.889,0.955,6123.359,1555.957
2021-05-19T04:15:00,86.915,0.998,3844.838,1264.57
2021-05-19T04:20:00,87.363,0.929,3005.667,1038.058
2021-05-19T04:25:00,93.203,0.968,4790.757,1944.467
2021-05-19T04:30:00,91.485,0.999,1915.503,1126.296
2021-05-19T04:35:00,97.045,0.936,3395.011,1953.951
2021-05-19T04:40:00,105.655,0.901,2200.656,1568.326
2021-05-19T04:45:00,92.373,0.962,3996.035,1677.008
2021-05-19T04:50:00,96.268,0.943,3404.519,2428.014
2021-05-19T04:55:00,81.145,0.999,1960.465,1288.043
2021-05-19T05:00:00,79.246,1.002,444.94,1045.634
2021-05-19T05:05:00,92.902,0.977,6629.978,1884.78
2021-05-19T05:10:00,86.641,0.992,2840.013,1323.466
2021-05-19T05:15:00,88.96,1.006,4828.364,1581.438
2021-05-19T05:20:00,89.239,0.974,5618.361,1298.497
2021-05-19T05:25:00,91.362,0.988,12637.621,1569.622
2021-05-19T05:30:00,98.02,1.003,6931.1,1559.583
2021-05-19T05:35:00,92.861,1.001,5740.197,1618.907
2021-05-19T05:40:00,97.984,0.944,8695.528,1693.31
2021-05-19T05:45:00,100.536,0.995,8192.169,1812.258
2021-05-19T05:50:00,94.9,0.975,3313.132,1508.398
2021-05-19T05:55:00,102.0,0.992,5629.967,2160.233
2021-05-19T06:00:00,115.07,1.003,1813.03,2486.954
2021-05-19T06:05:00,93.161,0.997,2100.594,1347.881
2021-05-19T06:10:00,104.599,0.935,3450.08,2065.518
2021-05-19T06:15:00,83.848,1.004,2088.78,1103.23
2021-05-19T06:20:00,98.135,1.003,1631.748,1747.231
2021-05-19T06:25:00,92.644,0.993,2116.021,1601.124
2021-05-19T06:30:00,84.151,1.002,2088.077,1299.272
2021-05-19T06:45:00,68.582,0.86,5963.067,745.234
2021-05-19T06:50:00,70.634,0.988,562.316,1186.733
2021-05-19T06:55:00,69.084,0.994,860.229,928.832
2021-05-19T07:00:00,80.756,0.943,1615.8,1360.67
2021-05-19T07:05:00,93.526,0.917,4860.077,1661.436
2021-05-19T07:10:00,83.529,0.989,2730.751,956.202
2021-05-19T07:15:00,77.639,0.801,1743.8,558.442
2021-05-19T07:20:00,103.768,0.913,2039.077,1167.976
2021-05-19T07:25:00,108.122,0.979,3228.143,1371.561
2021-05-19T23:55:00,52.771,0.965,3408.843,746.18
